id,type_name,created_at,updated_at
1,ARTS,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
2,APPAREL,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
3,CAFE,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
4,CLUBS,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
5,DOCTOR,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
6,RESTAURANT,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
7,SHOPPING,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
8,PERSONAL_CARE,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
9,SCHOOL,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
10,VEHICLE,2025-04-07 17:09:04.944958,2025-04-07 17:09:04.944958
11,SPORTS_COMPLEX,2025-04-12 16:20:29.497833,2025-04-12 16:20:29.497833